"year","ind","qout","po","qktemp","pk","qltemp","pl","pz1","pz2","pz3","pz4","pz5","pz6","pz7","pz8","pz9","pz10","pz11","pz12","pz13","pz14","pz15","pz16","pz17","pz18","pz19","pz20","pz21","pz22","pz23","pz24","pz25","pz26","pz27","pz28","pz29","pz30","pz31","pz32","pz33","pz34","pz35","pn","pe","pm","pma","pmm","pmn","pms","pta","pwp","pos","pfm","pmc","peq","qc1","qc2","qc3","qc4","qc5","qc6","qc7","qc8","qc9","qc10","qc11","qc12","qc13","qc14","qc15","qc16","qc17","qc18","qc19","qc20","qc21","qc22","qc23","qc24","qc25","qc26","qc27","qc28","qc29","qc30","qc31","qc32","qc33","qc34","qc35","qcn","qe","qm","qma","qmm","qmn","qms","qta","qwp","qos","qfm","qmc","qeq"
1960,1,153474,0.305095,35474.5,0.202192,100351,0.1023,0.310386,0.241639,0.250938,0.111397,0.242862,0.176296,0.282507,0.127039,0.381165,0.336377,0.204089,0.246364,0.23198,0.173892,0.233014,0.168023,0.301161,0.212625,0.23896,0.234865,0.237866,0.592462,0.657491,0.243712,0.226038,0.316448,0.224137,0.259335,0.374491,0.182421,0.14226,0.26336,0.197164,0.157753,0.147757,0.204099,0.167633,0.270052,0.300931,0.436537,0.237518,0.222471,0.363241,0.217921,0.302273,0.236598,0.596281,0.250083,48907.6,0.025,4.3,0.027,294.682,1892.83,11763.4,0.653,239.552,85.859,404.382,1.482,644.322,64.753,7610.45,3288.17,361.059,35.767,182.491,79.377,598.532,612.463,187.472,237.567,82.07,25.868,41.854,4994.73,301.377,1472.17,344.426,8113.39,12108.1,3837.11,166.009,26.698,5196.6,105589,62722,1676.32,8448.32,29520.7,351.819,1117.95,472.557,680.559,815.256,338.428
1961,1,156256,0.310183,35714.3,0.21986,98162.3,0.108,0.312692,0.241896,0.245165,0.11114,0.240282,0.178342,0.287392,0.128684,0.370419,0.335709,0.19699,0.247061,0.225291,0.175857,0.231391,0.1685,0.294531,0.216173,0.237495,0.231428,0.238605,0.594281,0.650819,0.242756,0.226864,0.318025,0.225016,0.261338,0.373491,0.184218,0.145776,0.267045,0.201368,0.161034,0.15171,0.198344,0.168683,0.272442,0.303492,0.436473,0.235654,0.225983,0.356037,0.211608,0.302685,0.23683,0.596093,0.249752,48872.4,0.025,3.647,0.027,303.019,1901.76,11985.2,0.653,256.247,86.923,413.92,1.534,688.391,64.956,7857.36,3286.11,380.857,33.977,186.817,84.895,591.979,627.252,197.402,219.62,83.314,26.064,44.077,5093.47,317.528,1573.88,362.625,8318.3,12611.9,3905.69,171.808,28.395,5320.06,106874,62955.4,1701.46,8730.57,30406.5,369.189,1174,496.526,679.398,840.871,322.336
1962,1,155497,0.321488,36121.5,0.214236,96396.5,0.1162,0.32493,0.243717,0.239365,0.11209,0.244498,0.179797,0.288792,0.129022,0.376674,0.33778,0.199547,0.249626,0.227162,0.178488,0.22884,0.165994,0.291341,0.21825,0.237398,0.230202,0.239431,0.596403,0.638406,0.244811,0.22682,0.320164,0.225434,0.268012,0.378625,0.184691,0.146614,0.26899,0.205629,0.1647,0.15206,0.19327,0.167347,0.279144,0.313298,0.436327,0.23336,0.229917,0.361061,0.213754,0.305789,0.237397,0.594718,0.251342,48435.9,0.021,3.2,0.027,308.047,1806.08,12308.2,0.636,268.819,90.358,428.49,1.61,723.07,65.237,8322.64,3337.58,411.467,34.245,194.829,88.149,613.388,663.394,215.906,263.056,85.327,25.528,46.368,5255.19,325.969,1682.74,384.144,8607.78,12828.9,3899.95,182.83,29.591,5508.88,107933,62860.2,1816.46,9240.87,31146.5,385.674,1224.79,513.23,704.142,897.04,365.741
1963,1,160845,0.320346,36847,0.216912,95453.7,0.121,0.323686,0.249399,0.235034,0.111501,0.2447,0.181328,0.288751,0.128567,0.377839,0.342656,0.203262,0.250312,0.225394,0.183512,0.228804,0.164612,0.291871,0.210816,0.235821,0.228428,0.240986,0.597907,0.63396,0.242486,0.226517,0.316952,0.226953,0.261274,0.38511,0.18585,0.146243,0.271284,0.210171,0.16841,0.159013,0.188499,0.16684,0.279167,0.312348,0.436379,0.233332,0.231841,0.362354,0.214268,0.312108,0.238516,0.594766,0.24937,50071.6,0.016,2.863,0.027,314.372,1783.99,12554.2,0.599,272.722,91.786,451.392,1.658,764.573,64.143,8749.92,3428.88,428.285,35.016,207.653,94.752,612.792,685.717,220.954,279.376,87.367,25.96,47.596,5466.68,332.7,1763.23,398.473,8692.55,13155,3945.69,187.425,30.769,5700.54,111161,64833.9,1868,9701.7,31829.9,391.545,1289.36,524.591,709.898,924.853,384.02
1964,1,159818,0.321819,37528.9,0.183998,94510.9,0.1385,0.322285,0.261619,0.271174,0.110525,0.244641,0.18375,0.288347,0.129854,0.383884,0.346355,0.207274,0.252952,0.226138,0.185464,0.227669,0.158017,0.287053,0.219717,0.236333,0.234615,0.245642,0.611173,0.627203,0.245227,0.229116,0.317909,0.227829,0.262771,0.388328,0.186484,0.144826,0.277571,0.212803,0.172683,0.16438,0.21137,0.162992,0.279622,0.311263,0.442843,0.232107,0.235515,0.368216,0.21622,0.317337,0.243366,0.602994,0.252018,49088,0.015,2.047,0.036,315.884,1607.08,12346.8,0.547,272.918,89.324,454.196,1.617,757.271,63.214,8807.26,3391.45,437.988,32.51,211.084,98.374,605.682,692.173,222.212,263.674,86.895,25.422,46.522,5384.15,326,1755.08,400.687,8504.08,12846.1,3778.72,183.502,26.593,5655.44,109132,63614.8,1867.31,9774.04,31097.3,387.952,1283.53,511.696,706.199,932.695,367.637
1965,1,164301,0.335576,38256,0.221143,86246.5,0.152,0.336015,0.276219,0.237934,0.10973,0.24718,0.186455,0.298511,0.131188,0.386875,0.348118,0.209261,0.25492,0.228619,0.187769,0.228972,0.163647,0.289479,0.227506,0.237105,0.241253,0.248522,0.619146,0.619934,0.248297,0.232915,0.320775,0.225617,0.27174,0.387431,0.187309,0.145789,0.280243,0.215989,0.177368,0.167016,0.210385,0.166642,0.28836,0.32389,0.446827,0.233478,0.239682,0.371368,0.218503,0.31766,0.246762,0.607093,0.255308,49988.8,0.011,2.043,0.036,342.997,1586.63,12577.4,0.511,296.14,94.566,480.726,1.75,826.677,66.891,9546.01,3411.34,484.584,33.436,231.577,107.845,663.469,751.761,256.69,319.815,93.979,28.952,52.78,5668.38,348.227,1883.94,422.212,9054.23,13630.4,3883.35,195.94,27.797,5839.94,113028,64865.4,2072.55,10611.9,32893.6,417.634,1384.86,546.141,773.652,1028.81,433.144
1966,1,163392,0.366988,39281.7,0.242281,84037.2,0.1668,0.36448,0.276509,0.242223,0.111757,0.250499,0.195042,0.315186,0.136477,0.388974,0.351389,0.21878,0.262873,0.234832,0.194864,0.231241,0.168932,0.297998,0.247066,0.238723,0.246323,0.255796,0.638259,0.626451,0.253058,0.238424,0.332075,0.23267,0.276886,0.382947,0.18747,0.145039,0.287951,0.225586,0.183671,0.170423,0.218489,0.169701,0.305664,0.349228,0.458302,0.236087,0.247371,0.37511,0.225853,0.316386,0.253708,0.622662,0.260791,50659.5,0.011,1.738,0.036,367.427,1437.49,12817.5,0.462,319.039,99.525,496.896,1.807,885.254,67.703,10167.1,3502.78,518.811,33.303,250.165,115.946,724.437,832.697,290.026,316.758,101.462,31.059,54.528,5952.73,376.185,2015.71,452.437,9413.88,13824.3,4009.48,202.948,27.475,6102.86,115790,65864.9,2272.95,11309.8,33951.6,445.997,1462.3,583.62,842.981,1145.35,439.674
1967,1,169478,0.351358,40297.8,0.221811,82051.1,0.1793,0.349391,0.274796,0.24653,0.113952,0.257704,0.201861,0.310409,0.138912,0.386728,0.357779,0.216098,0.269444,0.239342,0.200428,0.232144,0.171855,0.302001,0.237159,0.243514,0.250552,0.260704,0.658283,0.645959,0.259267,0.246201,0.345702,0.239513,0.283123,0.38895,0.188061,0.145175,0.299298,0.232009,0.19154,0.175653,0.209855,0.171585,0.301346,0.336764,0.471313,0.237454,0.255247,0.374199,0.227888,0.321657,0.258511,0.64216,0.268072,50220.5,0.007,1.416,0.053,356.948,1382.74,13306.5,0.41,318.568,101.239,521.75,1.848,871.199,67.74,10072.4,3596.07,534.058,33.821,241.862,109.498,756.052,852.628,291.042,285.49,105.966,33.801,53.993,5875.99,375.987,2073.48,464.052,9400.37,13758.7,3946.74,204.301,28.691,6269.01,115553,65861.8,2303.37,11216.2,33745.4,447.465,1471.51,584.93,868.602,1166.8,417.022
1968,1,171661,0.357461,41925.8,0.213477,78578.8,0.198,0.353899,0.292776,0.249355,0.115332,0.26763,0.212058,0.318057,0.141612,0.407377,0.370154,0.243235,0.281101,0.24062,0.207736,0.23198,0.168237,0.305679,0.242052,0.255607,0.257266,0.267705,0.684216,0.659785,0.268789,0.253344,0.353118,0.247016,0.294214,0.394435,0.191058,0.144879,0.312203,0.24329,0.200839,0.186707,0.206069,0.170482,0.308172,0.342101,0.486855,0.238084,0.266578,0.392076,0.238447,0.328828,0.265451,0.664495,0.277035,50673.2,0.007,1.051,0.061,341.207,1355.78,13251.1,0.346,323.705,103.041,507.592,1.871,897.693,66.743,10348.5,3719.24,570.455,33.332,242.474,111.173,768.073,819.102,296.497,321.017,105.458,35.41,54.96,5882.54,380.565,2150.94,481.09,9463.44,13470.2,3811.31,202.28,29.408,6491.24,115996,66295.6,2291.84,11516.4,33468,454.195,1484.01,589.777,882.347,1137.81,453.036
1969,1,173386,0.401487,42162.3,0.300172,76414.2,0.214,0.383873,0.322948,0.266806,0.118668,0.267757,0.229962,0.334054,0.148436,0.413131,0.38232,0.270264,0.295592,0.248317,0.218062,0.230196,0.169472,0.307805,0.258654,0.266857,0.272598,0.278793,0.711404,0.667606,0.275029,0.26498,0.354329,0.256235,0.311955,0.396003,0.195021,0.147148,0.330796,0.252932,0.212582,0.19784,0.214626,0.17268,0.3276,0.368563,0.50345,0.236868,0.280256,0.400109,0.252672,0.333997,0.277048,0.686083,0.284252,51840.6,0.006,0.885,0.059,351.001,1342.66,13811.7,0.276,342.729,107.941,510.312,2.057,973.539,70.622,11226.9,3940.79,631.189,31.985,256.227,121.164,795,884.261,324.115,336.801,112.869,39.59,59.063,6193.32,420.025,2341.32,519.924,9813.5,14082.7,3976.48,211.145,29.968,6956.26,120276,68104.7,2456.42,12480.3,34968.4,477.702,1565.95,642.329,919.23,1232.28,480.44
1970,1,174451,0.410499,42943,0.302139,75021.7,0.2196,0.398754,0.362768,0.334805,0.12349,0.271169,0.2449,0.348555,0.155898,0.413321,0.393283,0.243293,0.305241,0.259024,0.23235,0.234374,0.173205,0.319613,0.256746,0.279609,0.297318,0.297067,0.736607,0.698615,0.285531,0.283601,0.372268,0.268049,0.323394,0.403799,0.203715,0.152754,0.346163,0.266887,0.225619,0.217678,0.231969,0.178172,0.340758,0.382796,0.526286,0.241632,0.293914,0.402519,0.250727,0.346375,0.296134,0.712324,0.29756,51512.7,0.008,0.786,0.073,365.458,1320.96,13637.4,0.212,358.88,102.883,566.23,2.061,967.098,68.091,11366.2,3960.53,627.893,29.741,255.235,120.265,746.841,886.562,325.046,290.651,108.833,39.737,57.06,6340.82,438.166,2478.7,548.136,9887.69,14074.1,3950.38,216.535,29,7155.64,119990,67648.2,2406.3,12624,35219.9,488.004,1614.16,666.31,869.951,1235.58,432.343
1971,1,183510,0.406105,43468.1,0.359759,72182.6,0.2137,0.393256,0.350098,0.378421,0.131709,0.280992,0.26324,0.356196,0.159682,0.415405,0.401853,0.274123,0.314111,0.262955,0.241069,0.239531,0.183434,0.325877,0.262234,0.299448,0.300847,0.310851,0.755335,0.718196,0.302451,0.294679,0.380998,0.282012,0.347245,0.419621,0.219768,0.163026,0.359774,0.282046,0.238133,0.235818,0.231439,0.190198,0.345254,0.380508,0.543083,0.247325,0.309801,0.406194,0.264054,0.362645,0.308409,0.730919,0.31266,52355.6,0.006,0.571,0.084,343.999,1338.35,14118.1,0.144,374.651,108.612,534.33,2.05,980.375,68.429,11488.1,3991.77,646.36,29.573,247.646,118.456,683.756,817.462,310.745,342.902,109.53,39.782,56.345,6461.12,450.967,2573.84,555.299,10023.9,14370.8,3917.3,221.79,29.865,7300.97,121859,68977.2,2283.19,12732.6,35779.3,509.69,1595.9,685.103,804.726,1150.11,483.413
1972,1,186534,0.487153,43516.7,0.492737,73255.9,0.2171,0.465213,0.364357,0.409879,0.134613,0.282789,0.279446,0.374386,0.164386,0.442595,0.418681,0.301952,0.327174,0.270588,0.248288,0.241707,0.186758,0.334242,0.301804,0.309238,0.311917,0.323296,0.760224,0.729863,0.314793,0.306063,0.380948,0.287022,0.361239,0.444974,0.231962,0.174128,0.369957,0.29685,0.24725,0.245437,0.252114,0.197187,0.382685,0.43917,0.552986,0.249993,0.322493,0.432043,0.278532,0.383331,0.320611,0.737525,0.32397,57130.8,0.003,0.532,0.089,377.691,1445.37,16119.9,0.091,428.41,125.688,659.403,2.561,1134.88,77.458,13088.5,4435.45,819.573,33.389,296.81,139.082,774.018,1006,370.749,386.518,127.242,46.71,70.918,7271.72,506.431,2967.26,613.813,11512.2,15778.7,4356.87,250.313,30.47,8234.62,135623,76033.5,2725.95,14626.3,40129.5,583.998,1889.41,768.18,915.814,1403.86,550.703
1973,1,190194,0.628764,44315.1,0.571361,69179.4,0.2445,0.638467,0.406115,0.456093,0.158573,0.299958,0.303942,0.447463,0.17136,0.488751,0.447329,0.365313,0.348884,0.290656,0.259527,0.254387,0.237892,0.348348,0.330245,0.323111,0.334711,0.338433,0.776925,0.74339,0.322217,0.321031,0.397206,0.306504,0.373458,0.45748,0.245285,0.187222,0.393482,0.30989,0.262084,0.25324,0.313306,0.229977,0.469931,0.58542,0.568445,0.262944,0.338428,0.473643,0.312769,0.396291,0.336885,0.753061,0.333985,63590.3,0.005,0.489,0.095,486.726,1698.16,19517,0.029,523.632,159.909,777.995,3.239,1477.71,95.323,16411.8,5180.97,1095.85,40.83,384.206,187.872,1010.24,1349.09,505.934,529.628,172.114,55.717,87.624,9276.45,666.614,3869.1,738.861,14440.7,20004.1,5464.34,313.461,30.858,10088.5,159667,86115.8,3653.96,18459,50739.7,719.829,2364.64,994.249,1201.55,1891.28,742.669
1974,1,183488,0.677209,45337.8,0.590528,64548.4,0.2683,0.681952,0.448567,0.841349,0.320031,0.36629,0.344367,0.517103,0.189714,0.565518,0.509131,0.382144,0.397576,0.360566,0.289683,0.328184,0.392595,0.426894,0.357666,0.367099,0.446535,0.410952,0.859481,0.822799,0.349893,0.358765,0.431096,0.363734,0.410346,0.476558,0.293687,0.225824,0.429,0.319144,0.284691,0.28066,0.360336,0.331359,0.514901,0.635496,0.641723,0.336144,0.361679,0.544793,0.363213,0.418983,0.415321,0.833191,0.365071,58463.5,0.002,0.313,0.059,443.924,1387.62,18875.7,0.016,487.106,140.504,744.646,3.116,1401.51,88.331,15416.5,4934.98,1025.5,38.642,376.226,176.288,956.353,1385.12,501.663,474.305,167.762,57.723,81.639,8428.2,658.994,3545.91,645.835,13905.8,19783.8,5132.88,291.056,25.426,9430.75,149627,79949.5,3624.63,17336.7,48673.3,662.312,2248.61,966.386,1135.83,1924.23,687.612
1975,1,188571,0.655195,45708.6,0.576077,65179.6,0.2789,0.663968,0.570633,1.02825,0.372801,0.468913,0.376409,0.557003,0.211438,0.552627,0.518965,0.370876,0.428948,0.411756,0.327154,0.391202,0.451352,0.485757,0.370152,0.41921,0.489582,0.47411,0.986752,0.935734,0.402808,0.407694,0.477411,0.394401,0.439416,0.492305,0.338612,0.28615,0.458793,0.339221,0.313127,0.300243,0.360336,0.38307,0.530481,0.632016,0.734696,0.399602,0.386695,0.538013,0.391735,0.435591,0.475247,0.954309,0.417242,58032,0.002,0.187,0.056,384.975,1202.63,17120.1,0.009,467.261,129.186,732.122,2.492,1166.19,77.752,13150.6,4693.85,827.881,34.064,333.94,142.589,806.894,1193.07,402.266,380.7,171.828,52.196,68.894,7458.57,651.813,3409.81,570.383,13461.7,18996.3,4814.65,280.989,24.716,8971.24,142520,77819.9,3068.43,14750.6,46080.9,628.001,1986.59,950.805,951.854,1628.06,595.148
1976,1,192838,0.671153,46163.3,0.550332,71072.6,0.3067,0.681724,0.637958,1.03628,0.411166,0.479499,0.394548,0.543793,0.226388,0.588926,0.55509,0.426009,0.446698,0.431472,0.349432,0.40865,0.480834,0.513649,0.40191,0.451208,0.50961,0.49232,1.02866,0.974061,0.424877,0.438134,0.510214,0.410474,0.459438,0.511346,0.368833,0.34373,0.480812,0.364712,0.337225,0.341192,0.385176,0.413442,0.546857,0.643423,0.766809,0.417793,0.409952,0.574173,0.424195,0.461133,0.493686,0.99448,0.443001,58877.1,0.002,0.075,0.061,377.135,1132.43,17751.3,0,484.877,134.654,717.644,2.36,1230.71,82.843,13677.3,4984.86,834.295,34.704,325.972,144.881,809.427,1102.8,408.129,416.774,184.373,53.807,69.632,7547.76,675.122,3410.64,520.318,12398,18587.6,4715.99,270.214,22.224,9272.88,143341,79313.4,2985.87,15257,44503.4,651.807,2043.26,967.131,956.745,1540.45,644.041
1977,1,200567,0.664981,47826.1,0.536863,68440.4,0.3272,0.672355,0.678337,1.05882,0.465809,0.49286,0.42601,0.567309,0.247876,0.605032,0.591879,0.489159,0.476283,0.446958,0.373683,0.428499,0.53622,0.54317,0.442272,0.488112,0.547787,0.526323,1.07305,0.996193,0.457193,0.472501,0.534942,0.44367,0.501276,0.521199,0.406172,0.409504,0.504749,0.395773,0.361822,0.359722,0.423724,0.460582,0.558037,0.642249,0.804514,0.43848,0.439584,0.595925,0.456626,0.474424,0.528217,1.03193,0.475888,64905.3,0.001,0,0.054,338.388,970.416,16721.5,0,467.061,137.275,650.67,2.16,1133.46,91.591,13020.7,4746.68,847.233,29.814,297.983,124.873,765.399,962.65,392.052,387.022,226.26,51.017,66.658,7060.85,647.892,3184.01,446.222,11232.9,16701.9,4559.76,257.396,45.107,8730.85,145657,84644.4,2741.94,14553.4,40762.6,632.668,1883.7,947.222,892.156,1379.49,653.816
1978,1,203682,0.801932,48754.6,0.806087,67991.2,0.3622,0.776969,0.764361,1.1638,0.504362,0.531218,0.474188,0.615957,0.272703,0.629162,0.615652,0.565137,0.51328,0.468066,0.400811,0.444903,0.570243,0.572433,0.492588,0.539666,0.591994,0.570768,1.13265,1.0509,0.492102,0.50339,0.572388,0.491666,0.539413,0.532277,0.438666,0.449914,0.537803,0.434214,0.388279,0.390632,0.498148,0.493013,0.62354,0.733101,0.8558,0.456984,0.474434,0.621265,0.496299,0.493578,0.572536,1.08907,0.510094,66704.8,0.001,0,0.05,355.355,1054.81,17338.2,0,523.901,130.012,643.463,1.808,1257.65,91.292,14288.1,5130.62,878.574,32.211,308.059,127.893,787.372,1028.47,388.598,378.158,249.01,54.182,67.692,7549.85,734.179,3471.87,500.358,12033.9,17703.1,4842.83,258.097,47.287,9480.16,151936,87194.6,2852.13,15860.6,43476.8,684.938,1994.41,1043.73,917.183,1444.6,671.355
1979,1,220251,0.890268,49763.9,1.03613,66170.8,0.3769,0.847296,0.96761,1.26378,0.680123,0.59592,0.530438,0.674838,0.2989,0.663325,0.650272,0.615797,0.556468,0.527473,0.437269,0.506867,0.768983,0.635427,0.599618,0.594832,0.678285,0.62565,1.20032,1.10403,0.534089,0.554662,0.601173,0.563572,0.592423,0.536523,0.47577,0.519679,0.581896,0.457264,0.422524,0.417287,0.651708,0.617325,0.679998,0.80016,0.916526,0.519154,0.509284,0.658704,0.551993,0.50933,0.631589,1.15153,0.554728,72933.5,0.001,0,0.044,369.751,1195.46,17834,0,618.7,139.039,667.841,1.684,1421.9,98.916,15894.9,5668.43,938.647,31.704,321.121,130.143,845.775,1198.06,455.844,355.289,247.726,77.813,73.393,8045.57,914.949,3972.98,562.337,13262.8,20433.4,5523.9,304.224,46.883,10596.4,166234,94426.9,3199.78,17539.7,48715,789.159,2183.82,1273.03,977.589,1685.85,674.095
1980,1,208824,1.00903,50125.1,1.16015,67244.9,0.3967,0.91445,1.17358,1.30933,1.0256,0.716361,0.588653,0.725963,0.334094,0.728104,0.700179,0.597403,0.601492,0.599028,0.481522,0.615587,1.15319,0.708619,0.610888,0.663944,0.740521,0.683145,1.28367,1.17692,0.589752,0.616335,0.673887,0.69151,0.689841,0.553882,0.554449,0.644033,0.636126,0.487893,0.466291,0.443775,0.960489,0.856117,0.743005,0.863153,0.988245,0.625755,0.558144,0.718701,0.594644,0.537426,0.689618,1.23045,0.61518,65994.8,0.001,0,0.039,353.633,1263.34,18163.9,0,651.844,144.166,706.883,1.561,1456.63,94.172,13835.3,5232.31,899.347,35.29,297.798,115.456,846.517,1234.96,499.25,303.019,243.856,69.954,69.624,7477.16,1028.08,4162.07,589.347,13633.1,22460.3,5471.14,303.647,33.778,10186.8,157684,87439.4,3251.01,15426.7,50303.2,830.819,2255.37,1370.66,962.552,1765.9,611.438
1981,1,230896,0.921844,50418.4,1.18889,67313.8,0.4048,0.866117,1.0655,1.4045,1.34206,0.794407,0.633137,0.755338,0.366005,0.792342,0.754861,0.606236,0.645382,0.648448,0.526914,0.678025,1.36937,0.755958,0.650212,0.718907,0.784543,0.740425,1.3637,1.23665,0.670238,0.688826,0.725104,0.70029,0.768883,0.605793,0.637638,0.754729,0.678884,0.523421,0.512524,0.50757,1.23513,1.00716,0.74835,0.833492,1.05803,0.687424,0.603858,0.780236,0.631607,0.596594,0.745245,1.30317,0.688362,68691.4,0.003,0,0.05,287.609,1287.46,16566,0.003,625.944,148.225,629.83,1.545,1408.71,92.248,14184.2,4242.96,880.869,32.82,258.836,103.641,737.716,1024.39,454.911,247.325,166.152,111.174,73.45,6454.54,1053.06,3809.26,586.791,13185.3,20938.8,5436.76,304.027,24.765,8620.37,156314,88761.3,2786.23,15636.9,47168.7,806.411,2129.34,1379.23,842.056,1503.66,524.187
1982,1,234524,0.943112,50717.8,1.02473,66520.9,0.4834,0.88707,0.947014,1.44857,1.3417,0.790022,0.656784,0.757181,0.433036,0.796608,0.786287,0.593625,0.681721,0.657843,0.561471,0.683763,1.30525,0.78551,0.659048,0.754366,0.774354,0.771056,1.40928,1.27248,0.713629,0.75046,0.76149,0.706426,0.777062,0.667448,0.702665,0.880418,0.698333,0.550492,0.556078,0.557777,0.887254,1.01232,0.767083,0.850177,1.09741,0.694841,0.628972,0.789795,0.635687,0.647312,0.771394,1.345,0.73478,71609.8,0.004,0,0.046,282.998,1718.96,17986.8,0.005,693.011,173.017,681.767,1.911,1575.28,101.881,15374.6,4629.53,984.749,37.028,259.185,80.118,757.071,1010.77,494.143,273.884,126.806,174.379,86.434,6682.49,1167.32,4070.42,595.583,14759.3,22698.1,5864.95,336.012,36.293,9312.55,166379,93338.5,2845.29,16933.8,51281.8,902.135,2358.88,1542.92,837.17,1526.57,576.231
1983,1,215450,0.899068,49819.9,0.764008,81869,0.4403,0.894688,0.995695,1.38048,1.24426,0.797182,0.66954,0.771198,0.475944,0.80315,0.793014,0.621619,0.701164,0.653137,0.586118,0.678134,1.19763,0.792438,0.67244,0.770332,0.781757,0.77738,1.37579,1.26978,0.72646,0.784995,0.785124,0.722546,0.770573,0.710485,0.729419,0.985107,0.722868,0.599863,0.592155,0.579085,0.781958,0.976396,0.781645,0.858967,1.09107,0.690569,0.661915,0.796651,0.641543,0.682351,0.777821,1.32291,0.753853,60095.4,0.003,0,0.026,260.37,1767.11,15956.3,0.004,735.931,155.85,683.249,1.192,1604.71,75.353,14439.2,4231.18,944.381,36.625,217.866,65.479,640.723,703.354,460.584,220.184,1.675,150.194,83.445,5753.08,1016.66,3677.38,462.628,12816.3,18357.6,4908.62,276.899,26.472,8403.87,142506,79548.1,2182.24,15893.8,43086.8,927.987,2365.89,1323.91,706.174,1173.55,370.352
1984,1,231061,0.904519,48978,0.97165,73590.2,0.482,0.905496,0.886588,1.36214,1.23316,0.808423,0.691739,0.797879,0.512983,0.829775,0.806927,0.621168,0.723741,0.701334,0.619668,0.697742,1.16019,0.813907,0.699132,0.794009,0.79862,0.796326,1.31746,1.25403,0.740479,0.810663,0.804113,0.722689,0.79455,0.773355,0.771058,0.993844,0.742495,0.62521,0.624816,0.601802,0.660787,0.975199,0.799901,0.873971,1.07581,0.710157,0.686956,0.821145,0.674938,0.732065,0.796569,1.28197,0.769963,56588,0.005,0,0.024,304.469,2272.66,16890.6,0.004,801.507,173.023,734.912,1.353,1638,87.705,15471.7,5234.16,1102.98,42.088,230.242,74.354,692.238,1043.02,712.785,253.459,0.862,161.013,89.78,6053.55,992.246,4070.3,490.307,14201.9,19875.5,5327.27,284.11,38.554,9945.02,145318,76903.6,2971.23,17160.8,46689.2,1015.79,2460.4,1316.57,766.578,1769.14,412.816
1985,1,245257,0.834348,48256.5,0.907462,71519.1,0.5435,0.839484,0.800083,1.34056,1.16294,0.827033,0.709656,0.780689,0.54837,0.827337,0.818586,0.615722,0.746474,0.700891,0.648687,0.70393,1.11346,0.811321,0.705767,0.811827,0.777293,0.807839,1.27269,1.22292,0.756309,0.818261,0.808224,0.718554,0.80683,0.809352,0.80138,0.981818,0.76424,0.663234,0.653281,0.636268,0.605343,0.962733,0.780865,0.821069,1.05675,0.716114,0.715398,0.821493,0.6742,0.764882,0.804932,1.24311,0.780682,60678.1,0.005,0,0.026,288.189,2247.91,15951.6,0.004,726.409,160.969,684.175,1.366,1600.97,101.749,14175.5,4611.92,1045.65,33.785,215.989,69.343,662.381,876.111,629.94,192.31,0.738,182.46,75.521,5654.71,950.344,3719.19,430.815,14169.8,18226.8,5455.47,275.074,41.099,8869.23,145262,80088.9,2619.26,15772.5,44748.8,921.002,2388.59,1266.94,731.74,1516.66,375.978
1986,1,245492,0.809768,47715.7,0.958657,70930.2,0.5594,0.80837,0.789836,1.26682,0.767553,0.825428,0.735677,0.79278,0.592638,0.841361,0.837005,0.629679,0.765059,0.713533,0.673138,0.70021,0.762246,0.81739,0.740887,0.830429,0.784962,0.81279,1.24714,1.2194,0.7957,0.810475,0.828762,0.74654,0.8068,0.850238,0.811717,0.904668,0.755583,0.695928,0.678669,0.654062,0.705573,0.789386,0.773751,0.799995,1.05476,0.713547,0.729891,0.836967,0.687738,0.802608,0.810135,1.22828,0.810612,60468.7,0.005,0,0.036,258.828,2079.81,13700.9,0.005,683.009,143.307,616.227,1.416,1541.29,109.536,12623.2,3471.88,958.403,25.518,201.561,61.772,614.523,563.201,683.911,204.218,0.552,207.787,65.457,5435.77,911.912,3530.43,398.132,14070.4,16750.4,5623.19,280.307,40.465,7439.12,138931,77524.2,2293.86,14087.6,43126.4,852.497,2272.1,1230.03,676.394,1250.81,413.452
1987,1,254229,0.856008,47261.5,1.1383,70399.2,0.5791,0.842669,0.916293,1.22958,0.799068,0.86079,0.762975,0.807585,0.644889,0.864528,0.856924,0.659645,0.785619,0.757642,0.698988,0.722875,0.804814,0.824294,0.788292,0.835131,0.82981,0.824291,1.21482,1.22452,0.821949,0.811314,0.857627,0.78956,0.819322,0.858721,0.811931,0.856275,0.789673,0.729115,0.711269,0.671002,0.732559,0.80844,0.802885,0.830802,1.05714,0.735186,0.76002,0.860431,0.72686,0.813684,0.824661,1.21592,0.838051,64097.9,0.003,0,0.035,275.755,2054.76,14054.5,0.003,749.424,178.677,698.3,1.888,1483.86,122.032,13308,4449.5,1105.11,40.328,229.884,65.623,662.192,712.185,758.513,266.785,0.79,230.247,84.962,5679.29,888.464,3475.36,372.346,13400,17251.6,5998.42,275.738,43.475,8314.33,144895,81689.6,2659.71,14999.5,43498.3,967.889,2299.81,1204.17,727.932,1475.41,498.05
